2026-05-26T14:29:53.190678 | UPLOAD | 20260514建線 & 0528生產_Qbi製程記錄表_cPROG 犬孕酮_UMRZ26E037.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E036 | LOT= | OK
2026-05-26T14:29:56.019054 | UPLOAD | 20260518 建線 & 0521 生產_Qbi製程記錄表_COAG 凝血_UMRZ26E047.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E047 | LOT= | OK
2026-05-26T14:29:56.031897 | UPLOAD | 20260518 建線 & 0521 生產_Qbi製程記錄表_COAG 凝血_UMRZ26E047.xlsx | SHEET=ow (2) | TYPE=water | WO=UMRZ26E047 | LOT= | OK
2026-05-26T14:29:57.795417 | UPLOAD | 20260519 建線 & 0526 生產_Qbi製程記錄表_(ST2) Specific Test 2_UMRZ26E041(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E041 | LOT= | OK
2026-05-26T14:29:59.491273 | UPLOAD | 20260519 建線 & 0526 生產_Qbi製程記錄表_(ST3) Specific Test 3_UMRZ26E042   紙本手改料號(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E042 | LOT= | OK
2026-05-26T14:30:01.745685 | UPLOAD | 20260519 建線 & 0526 生產_Qbi製程記錄表_(ST4) Specific Test 4_UMRZ26E043 紙本手改料號(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E043 | LOT= | OK
2026-05-26T14:30:03.521293 | UPLOAD | 20260519 建線 & 0526 生產_Qbi製程記錄表_(ST6) Specific Test 6_UMRZ26E044  紙本手改料號.xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E044 | LOT= | OK
2026-05-26T14:30:03.586284 | UPLOAD | ~$20260518 建線 & 0521 生產_Qbi製程記錄表_COAG 凝血_UMRZ26E047.xlsx | ERROR: File is not a zip file
2026-05-26T14:30:05.443467 | UPLOAD | 無QR    20260526 建線 & 0608 生產_Qbi製程記錄表_(CO) 核心生化 Core Chem 13_UMRZ26E039 (1).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E039 | LOT=1-000001-26060801 | OK
2026-05-26T14:33:42.626643 | UPLOAD | 20260313_Qbi製程記錄表_Optimum Wellness  37_UMRZ26C005(退3+退12)-1.xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C005 | LOT= | OK
2026-05-26T14:33:44.355695 | UPLOAD | 20260313_Qbi製程記錄表_Optimum Wellness  37_UMRZ26C005(退3+退12).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C005 | LOT= | OK
2026-05-26T14:33:46.188907 | UPLOAD | 20260331_Qbi製程記錄表_(AR) 異寵全套 Avian & Reptile 26_UMRZ26C006(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C006 | LOT= | OK
2026-05-26T14:33:47.960329 | UPLOAD | 20260407_Qbi製程記錄表_(LA) 大動物健康檢查 Large Animal  25_UMRZ26C028(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C028 | LOT= | OK
2026-05-26T14:33:49.647294 | UPLOAD | ☆ 20260327_Qbi製程記錄表_COAG 凝血-UMRZ26C032(RD不退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C032 | LOT= | OK
2026-05-26T14:33:51.409274 | UPLOAD | ☆ 20260331_Qbi製程記錄表_(UPC) Urine Test_UMRZ26C029(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C029 | LOT= | OK
2026-05-26T14:33:53.097973 | UPLOAD | ☆ 20260407_Qbi製程記錄表_(LV) 肝功能檢查 Liver  11_UMRZ26C027(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C027 | LOT= | OK
2026-05-26T14:33:54.860508 | UPLOAD | ☆ 20260408_Qbi製程記錄表_(RL) 腎功能檢查 Renal  15_UMRZ26C026 (退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C026 | LOT= | OK
2026-05-26T14:33:56.652383 | UPLOAD | ☆ 20260409_Qbi製程記錄表_(AR) 異寵全套 Avian & Reptile 26_UMRZ26C031(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C031 | LOT= | OK
2026-05-26T14:33:58.355261 | UPLOAD | ☆ 20260413_Qbi製程記錄表_(ST3) Specific Test 3_UMRZ26C030(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26C030 | LOT= | OK
2026-05-26T15:32:35.450242 | UPLOAD | ???LOT    20260525 ?? & 0601 ??_Qbi?????_(DP) ???? Diagnosis Plus  27_UMRZ26E053.xlsm | SHEET=ow | TYPE=standard | WO=UMRZ26E053 | LOT=1-051052-26060101 | OK
2026-05-26T15:39:56.540243 | UPLOAD | Qbi?????.xlsm | SHEET=ow | TYPE=standard | WO=UMRZ26D038 | LOT=1-0000007-26041703 | OK
2026-05-26T15:50:53.708980 | UPLOAD | Qbi?????_(AR) ???? Avian & Reptile  26.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T15:52:27.824524 | UPLOAD | Qbi?????_(CC) ??? Critical Care  26.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T15:55:05.406892 | UPLOAD | Qbi?????_(AR) ???? Avian & Reptile  26.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T15:55:38.524112 | UPLOAD | Qbi?????_(CO) ???? Core Chem 13.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T15:57:38.338998 | UPLOAD | Qbi?????_(DB) ??? Diabetes  10.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T15:59:10.666539 | UPLOAD | Qbi?????_(DP) ???? Diagnosis Plus  27.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:00:31.218087 | UPLOAD | Qbi?????_(EL) ??? Electrolytes 7.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:01:41.745476 | UPLOAD | Qbi?????_(EP) ???? Small Exotic Pets  13.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:02:41.798739 | UPLOAD | Qbi?????_(EQ) ?????? Equine  26.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:03:42.576036 | UPLOAD | Qbi?????_(GC) ???? General Chem  26.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:05:37.839294 | UPLOAD | Qbi?????_(LA) ??????? Large Animal  25.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:07:03.915037 | UPLOAD | Qbi?????_(LV) ????? Liver  11.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:08:10.443220 | UPLOAD | Qbi?????_(OW) ???? Optimum Wellness  37 (OW1).xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:09:22.603641 | UPLOAD | Qbi?????_(OW) ???? Optimum Wellness  37 (OW3).xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:10:33.554962 | UPLOAD | Qbi?????_(RL) ????? Renal  15.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT=1-000007-26051206 | OK
2026-05-26T16:11:48.205705 | UPLOAD | Qbi?????_(ST1) Specific Test 1.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:12:57.657622 | UPLOAD | Qbi?????_(ST2) Specific Test 2.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:13:52.416152 | UPLOAD | Qbi?????_(ST3) Specific Test 3.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:15:13.897370 | UPLOAD | Qbi?????_(ST4) Specific Test 4.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:20:08.713888 | UPLOAD | Qbi?????_(ST5) Specific Test 5.xlsm | SHEET=ow | TYPE=standard | WO=0 | LOT= | OK
2026-05-26T16:21:08.742933 | UPLOAD | Qbi?????_(ST6) Specific Test 6.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
2026-05-26T16:22:13.532761 | UPLOAD | Qbi?????_(UPC) Urine Test.xlsm | SHEET=ow | TYPE=standard | WO=TMRP210231 | LOT= | OK
